game_id,year_id,comp_id,phase_id,part_id,team_id,opp_team_id,opp_comp_id,opp_phase_id,team_game_num_season,home_away_neutral,win,loss,tie,pts,opp_pts,mp,fg,fga,fg3,fg3a,ft,fta,orb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg3,opp_fg3a,opp_ft,opp_fta,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,last_modified
201411190HOU,2015,NBA,REG,NULL,LAL,HOU,NBA,REG,12,a,1,0,0,98,92,240,37,91,5,20,19,23,14,47,17,8,3,13,18,30,74,15,38,17,23,6,38,20,8,6,17,25,"2022-08-03 08:56:59"
201411190IND,2015,NBA,REG,NULL,CHA,IND,NBA,REG,12,a,0,1,0,86,88,240,37,86,5,14,7,12,12,41,18,6,6,5,21,35,78,2,15,16,24,14,51,15,3,3,11,13,"2022-08-03 08:56:59"
201411190IND,2015,NBA,REG,NULL,IND,CHA,NBA,REG,12,h,1,0,0,88,86,240,35,78,2,15,16,24,14,51,15,3,3,11,13,37,86,5,14,7,12,12,41,18,6,6,5,21,"2022-08-03 08:56:59"
201411190MIN,2015,NBA,REG,NULL,MIN,NYK,NBA,REG,10,h,1,0,0,115,99,240,44,89,11,22,16,22,15,35,26,15,2,14,23,34,69,9,16,22,28,8,33,19,6,3,22,22,"2022-08-03 08:56:59"
201411190MIN,2015,NBA,REG,NULL,NYK,MIN,NBA,REG,13,a,0,1,0,99,115,240,34,69,9,16,22,28,8,33,19,6,3,22,22,44,89,11,22,16,22,15,35,26,15,2,14,23,"2022-08-03 08:56:59"
201411190ORL,2015,NBA,REG,NULL,LAC,ORL,NBA,REG,10,a,1,0,0,114,90,240,45,84,12,21,12,16,2,39,24,8,9,7,19,34,86,8,24,14,18,11,48,21,5,1,13,17,"2022-08-03 08:56:59"
201411190ORL,2015,NBA,REG,NULL,ORL,LAC,NBA,REG,13,h,0,1,0,90,114,240,34,86,8,24,14,18,11,48,21,5,1,13,17,45,84,12,21,12,16,2,39,24,8,9,7,19,"2022-08-03 08:56:59"
201411190PHI,2015,NBA,REG,NULL,BOS,PHI,NBA,REG,10,a,1,0,0,101,90,240,41,83,6,20,13,21,7,44,32,11,4,15,19,34,86,7,21,15,21,9,44,22,10,2,15,20,"2022-08-03 08:56:59"
201411190PHI,2015,NBA,REG,NULL,PHI,BOS,NBA,REG,11,h,0,1,0,90,101,240,34,86,7,21,15,21,9,44,22,10,2,15,20,41,83,6,20,13,21,7,44,32,11,4,15,19,"2022-08-03 08:56:59"
201411190TOR,2015,NBA,REG,NULL,MEM,TOR,NBA,REG,12,a,0,1,0,92,96,240,35,80,3,10,19,26,15,50,16,8,4,13,16,38,83,9,26,11,13,7,35,24,9,6,8,20,"2022-08-03 08:56:59"
201411190TOR,2015,NBA,REG,NULL,TOR,MEM,NBA,REG,11,h,1,0,0,96,92,240,38,83,9,26,11,13,7,35,24,9,6,8,20,35,80,3,10,19,26,15,50,16,8,4,13,16,"2022-08-03 08:56:59"
201411190WAS,2015,NBA,REG,NULL,DAL,WAS,NBA,REG,12,a,1,0,0,105,102,240,34,82,12,28,25,29,10,44,18,5,5,12,19,37,84,10,22,18,21,9,42,25,8,3,13,27,"2022-08-03 08:56:59"
201411190WAS,2015,NBA,REG,NULL,WAS,DAL,NBA,REG,10,h,0,1,0,102,105,240,37,84,10,22,18,21,9,42,25,8,3,13,27,34,82,12,28,25,29,10,44,18,5,5,12,19,"2022-08-03 08:56:59"
201411200MIA,2015,NBA,REG,NULL,LAC,MIA,NBA,REG,11,a,1,0,0,110,93,240,43,77,13,31,11,17,4,35,31,6,0,13,21,30,67,6,26,27,31,6,30,11,10,3,12,15,"2022-08-03 08:56:59"
201411200MIA,2015,NBA,REG,NULL,MIA,LAC,NBA,REG,12,h,0,1,0,93,110,240,30,67,6,26,27,31,6,30,11,10,3,12,15,43,77,13,31,11,17,4,35,31,6,0,13,21,"2022-08-03 08:56:59"
201411200SAC,2015,NBA,REG,NULL,CHI,SAC,NBA,REG,12,a,0,1,0,88,103,240,36,84,5,19,11,16,13,42,23,6,4,14,26,38,74,4,6,23,27,7,40,26,5,4,13,21,"2022-08-03 08:56:59"
201411200SAC,2015,NBA,REG,NULL,SAC,CHI,NBA,REG,12,h,1,0,0,103,88,240,38,74,4,6,23,27,7,40,26,5,4,13,21,36,84,5,19,11,16,13,42,23,6,4,14,26,"2022-08-03 08:56:59"
201411210ATL,2015,NBA,REG,NULL,ATL,DET,NBA,REG,11,h,1,0,0,99,89,240,38,80,5,24,18,26,8,46,20,7,5,9,18,31,83,4,21,23,24,13,45,12,6,3,12,20,"2022-08-03 08:56:59"
201411210ATL,2015,NBA,REG,NULL,DET,ATL,NBA,REG,13,a,0,1,0,89,99,240,31,83,4,21,23,24,13,45,12,6,3,12,20,38,80,5,24,18,26,8,46,20,7,5,9,18,"2022-08-03 08:56:59"
201411210CHO,2015,NBA,REG,NULL,CHA,ORL,NBA,REG,13,h,0,1,0,100,105,240,42,91,7,20,9,15,10,45,22,4,7,7,26,39,82,4,16,23,32,6,43,12,2,5,8,15,"2022-08-03 08:56:59"
201411210CHO,2015,NBA,REG,NULL,ORL,CHA,NBA,REG,14,a,1,0,0,105,100,240,39,82,4,16,23,32,6,43,12,2,5,8,15,42,91,7,20,9,15,10,45,22,4,7,7,26,"2022-08-03 08:56:59"
201411210DAL,2015,NBA,REG,NULL,DAL,LAL,NBA,REG,13,h,1,0,0,140,106,240,51,82,18,35,20,28,11,39,37,4,2,9,16,44,85,5,13,13,21,13,33,24,3,4,10,24,"2022-08-03 08:56:59"
201411210DAL,2015,NBA,REG,NULL,LAL,DAL,NBA,REG,13,a,0,1,0,106,140,240,44,85,5,13,13,21,13,33,24,3,4,10,24,51,82,18,35,20,28,11,39,37,4,2,9,16,"2022-08-03 08:56:59"
201411210DEN,2015,NBA,REG,NULL,DEN,NOH,NBA,REG,12,h,1,0,0,117,97,240,43,82,11,24,20,25,8,41,24,8,10,10,24,31,78,5,16,30,34,8,40,19,7,3,12,22,"2022-08-03 08:56:59"
201411210DEN,2015,NBA,REG,NULL,NOH,DEN,NBA,REG,11,a,0,1,0,97,117,240,31,78,5,16,30,34,8,40,19,7,3,12,22,43,82,11,24,20,25,8,41,24,8,10,10,24,"2022-08-03 08:56:59"
201411210GSW,2015,NBA,REG,NULL,GSW,UTA,NBA,REG,11,h,1,0,0,101,88,240,41,82,6,23,13,19,6,40,28,10,5,13,18,35,82,6,17,12,19,14,45,26,12,5,19,16,"2022-08-03 08:56:59"
201411210GSW,2015,NBA,REG,NULL,UTA,GSW,NBA,REG,13,a,0,1,0,88,101,240,35,82,6,17,12,19,14,45,26,12,5,19,16,41,82,6,23,13,19,6,40,28,10,5,13,18,"2022-08-03 08:56:59"
201411210MEM,2015,NBA,REG,NULL,BOS,MEM,NBA,REG,11,a,0,1,0,100,117,240,38,88,9,27,15,21,9,38,22,7,7,12,14,48,91,8,16,13,14,9,50,31,4,4,14,16,"2022-08-03 08:56:59"
201411210MEM,2015,NBA,REG,NULL,MEM,BOS,NBA,REG,13,h,1,0,0,117,100,240,48,91,8,16,13,14,9,50,31,4,4,14,16,38,88,9,27,15,21,9,38,22,7,7,12,14,"2022-08-03 08:56:59"
201411210MIN,2015,NBA,REG,NULL,MIN,SAS,NBA,REG,11,h,0,1,0,92,121,240,37,90,4,13,14,22,11,34,16,12,3,11,17,46,84,13,21,16,18,14,53,26,6,11,20,22,"2022-08-03 08:56:59"
201411210MIN,2015,NBA,REG,NULL,SAS,MIN,NBA,REG,12,a,1,0,0,121,92,240,46,84,13,21,16,18,14,53,26,6,11,20,22,37,90,4,13,14,22,11,34,16,12,3,11,17,"2022-08-03 08:56:59"
201411210OKC,2015,NBA,REG,NULL,NJN,OKC,NBA,REG,12,a,1,0,0,94,92,240,31,67,5,15,27,30,10,38,17,2,6,18,17,38,85,4,20,12,19,13,36,18,9,9,13,25,"2022-08-03 08:56:59"
201411210OKC,2015,NBA,REG,NULL,OKC,NJN,NBA,REG,14,h,0,1,0,92,94,240,38,85,4,20,12,19,13,36,18,9,9,13,25,31,67,5,15,27,30,10,38,17,2,6,18,17,"2022-08-03 08:56:59"
201411210PHI,2015,NBA,REG,NULL,PHI,PHO,NBA,REG,12,h,0,1,0,96,122,240,36,78,4,23,20,33,10,39,18,10,1,17,23,44,86,13,31,21,23,11,46,24,11,0,13,25,"2022-08-03 08:56:59"
201411210PHI,2015,NBA,REG,NULL,PHO,PHI,NBA,REG,13,a,1,0,0,122,96,240,44,86,13,31,21,23,11,46,24,11,0,13,25,36,78,4,23,20,33,10,39,18,10,1,17,23,"2022-08-03 08:56:59"
201411210POR,2015,NBA,REG,NULL,CHI,POR,NBA,REG,13,a,0,1,0,87,105,240,30,83,8,22,19,28,11,48,14,9,2,14,18,39,79,9,16,18,22,6,46,26,8,5,17,19,"2022-08-03 08:56:59"
201411210POR,2015,NBA,REG,NULL,POR,CHI,NBA,REG,12,h,1,0,0,105,87,240,39,79,9,16,18,22,6,46,26,8,5,17,19,30,83,8,22,19,28,11,48,14,9,2,14,18,"2022-08-03 08:56:59"
201411210TOR,2015,NBA,REG,NULL,MIL,TOR,NBA,REG,13,a,0,1,0,82,124,240,27,74,6,20,22,32,8,30,19,11,1,12,18,45,86,15,25,19,24,15,57,27,8,4,16,24,"2022-08-03 08:56:59"
201411210TOR,2015,NBA,REG,NULL,TOR,MIL,NBA,REG,12,h,1,0,0,124,82,240,45,86,15,25,19,24,15,57,27,8,4,16,24,27,74,6,20,22,32,8,30,19,11,1,12,18,"2022-08-03 08:56:59"
201411210WAS,2015,NBA,REG,NULL,CLE,WAS,NBA,REG,11,a,0,1,0,78,91,240,27,75,6,27,18,23,9,41,13,12,4,19,21,41,84,4,10,5,9,10,45,24,10,5,17,21,"2022-08-03 08:56:59"
